id,Actual_price,Product_availability,Condition,Currency,Country,brand,Description,Category_name,primaryCategories,name,weight_in_kg,Actual_price_log,brand_standarized,Actual_price_mean_by_category_name,Category_name_encoded,Category_name_encoded_log
45,299.99,Yes,New,USD,USA,Apple,"Apple iPods,MP3 & MP4 Players,iPod & MP3 Players,Portable Audio & Video,iPods Media Players,Electronics,iPod and MP3 Players,iPod Touch,TVs Entertainment,Portable Audio,iPods,Audio","player, ipod",Electronics,Apple iPod Touch 128GB Blue,1.4061352,5.707,apple,299.495,308.84344106982263,5.736
46,299.0,Yes,New,USD,USA,Apple,"MP3 & MP4 Players,iPod & MP3 Players,iPods Media Players,Portable Audio & Video,Electronics,iPod and MP3 Players,TVs Entertainment,Portable Audio,iPods,Audio,iPod touch","player, ipod",Electronics,128GB iPod touch (Space Gray) (6th Generation),1.4061352,5.7037,apple,299.495,308.84344106982263,5.736
47,447.0,Yes,New,USD,USA,LG,"TV, Video & Home Audio,Projectors and Screens,Audio Visual Presentation,Frys,Electronics,Home Theater Projectors,Pico Projectors,TV & Home Theater,Video Projectors,Home Audio & Theater,Consumer Electronics,Projectors,Projectors & Screens,Home Theater","projector, presentation, screen",Electronics,LG - MiniBeam PH550 720p DLP Projector - White,0.6350288,6.1047,lg,447.0,360.97665950878854,5.8915
48,749.98,Yes,New,USD,USA,Marantz,"TVs & Electronics,Home Theater & Audio,Receivers Amplifiers,Receivers,Electronics,Receivers & Amplifiers,Television & Video,TVs Entertainment,Home Audio,Audio,AV Receivers & Amplifiers","receiver, amplifier, home",Electronics,Marantz - NR 350W 7.2-Ch. Hi-Res With HEOS 4K Ultra HD A/V Home Theater Receiver - Black,8.30526952,6.6213,marantz,649.24,483.6226924787525,6.1833
49,548.5,Yes,New,USD,USA,Yamaha,"TV, Video & Home Audio,Receivers Amplifiers,Receivers,Frys,Electronics,Receivers xxsdxrxxsxubbsxbrfszdwautssv,TVs Entertainment,Consumer Electronics,Home Theater Receivers,Television & Video,Receivers & Amplifiers,Home Audio,Audio,AV Receivers & Amplifiers","receiver, amplifier, home",Electronics,Yamaha - AVENTAGE 7.2-Ch. 4K Ultra HD A/V Home Theater Receiver - Black,10.5233344,6.309,yamaha,649.24,483.6226924787525,6.1833
50,249.99,Yes,,USD,USA,Vizio,"Soundbars,Vizio,TV, Video & Home Audio,Electronics,Sound Bars,Electronics Deals,Speakers,TVs Entertainment,Home Audio & Theater,Wireless Home Speakers,All Home Speakers,Soundbar Speakers,Speakers & Audio Systems,Tvs & Home Theater,Featured Brands,Consumer Electronics,Sound Systems,TV Sound Systems baesfadqwexxbctqsw,TV Sound Systems,Home Audio,Home Speakers & Subwoofers,Audio","sound, speaker, home",Electronics,Vizio 38 5.1 Sound Bar System - Black (sb3851-C0),10.4779752,5.5254,vizio,264.99,291.5003881263574,5.6784
51,279.99,Yes,,USD,USA,Sony,"TV Sound Systems rxxudxvr,TV, Video & Home Audio,Electronics,Sound Bars,Speakers,TVs Entertainment,Home Audio & Theater,All Home Speakers,Soundbar Speakers,Consumer Electronics,TV Sound Systems baesfadqwexxbctqsw,TV Sound Systems,Home Audio,Home Speakers & Subwoofers,Audio","sound, speaker, home",Electronics,Sony - 2.1-Channel Soundbar System with Wireless Subwoofer and Digital Amplifier - Black,2.3133192,5.6383,sony,264.99,291.5003881263574,5.6784
52,159.99,Yes,New,USD,USA,Kanto Living,"Computers,Audio & Video Components,Computer Accessories,Powered Speakers,Electronics,Computers Features,Speakers,Speakers, Headsets, Mics Webcams xczcyxfu,Computer Speakers fqbwdxuswzubbyavxutbubbvzaafsyzdsa,Speakers, Headsets, Mics Webcams,Computer Peripherals,Home Audio,Audio,Computer Speakers,Computer Speakers bezecfsy","speaker, audio",Electronics,YU2 Powered Desktop Speakers (Matte Gray),1.4061352,5.0813,kanto living,144.97,231.47272030946135,5.4487
53,129.95,Yes,New,USD,USA,Yamaha,"Stereos,TV, Video & Home Audio,Speaker Systems,Bookshelf Speakers,Electronics,TVs Entertainment,Speakers,Home Audio & Theater,All Home Speakers,Vintage Speakers,Consumer Electronics,Vintage Electronics,Speaker Separates,Home Audio,Home Speakers & Subwoofers,Bookshelf Speakers yytusrxxusszazawxruwdtbeucyzda,Audio","speaker, audio",Electronics,NS-6490 Bookshelf Speaker (Pair),5.9874144,4.8748,yamaha,144.97,231.47272030946135,5.4487
54,74.99,Yes,New,USD,USA,SHARKK,"Mobile,Mobile Speakers,Mobile Bluetooth Speakers,Electronics,Portable Audio & Video,Audio,Bluetooth & Wireless Speakers","speaker, bluetooth, mobile",Electronics,Boombox+ Bluetooth Wireless Speaker,0.907184,4.3306,sharkk,74.99,237.0582085480388,5.4725
55,249.99,No,New,USD,USA,House of Marley,"Portable Bluetooth Speakers,Stereos,Bluetooth & Wireless Speakers,Speaker Systems,Portable Audio & Video,Electronics,TVs Entertainment,Home Audio & Theater,Wireless Home Speakers,All Home Speakers,Wireless Speakers,MP3 Player Accessories,Home Audio,Portable Speakers & Docks,Audio,Mobile Speakers","speaker, portable, bluetooth",Electronics,Get Up Stand Bluetooth Home Audio System,7.0760352,5.5254,house of marley,348.24,333.1402477649147,5.8115
