id,Actual_price,Product_availability,Condition,Currency,Country,brand,Description,Category_name,primaryCategories,name,weight_in_kg,Actual_price_log,brand_standarized,Actual_price_mean_by_category_name,Category_name_encoded,Category_name_encoded_log
32,549.0,Yes,New,USD,USA,Lenovo,"Computers,Shop Laptops by Type,Computers & Accessories,Touchscreen Laptops,Electronics,All Laptops,PC Laptops,Computers/Tablets & Networking,PC Laptops & Netbooks,Laptops & Netbooks,Traditional Laptops,Computers & Tablets,See more Lenovo 11.6\\ Touch Yoga 710 Intel DualCore 4gb...,Laptops","laptop, computer",Electronics,"Lenovo 80TX0007US Y 710-11ISK 11.6-Inch FHD Touch Laptop (Pentium 4405Y, 4 GB Ram, 128 GB SSD, Windows 10), SilverNotebook PC Computer Tablet Touchscreen Screen 2-in-1",1.5422128,6.3099,lenovo,538.1324,448.1399517604762,6.1073
33,395.0,Yes,Used,USD,USA,Nikon,"Used:SLR Interchangeable Lenses,Prime Lenses,Cameras & Photo,Camera Accessories,Used:Digital Photography,Digital Camera Accessories,All Camera Lenses,Electronics,SLR Lenses,Camera & Photo,DSLR Lenses,Used:Lenses Lens Accessories,Cameras & Camcorders,Photography,Lenses & Filters,Digital Camera Lenses,Camera Lenses,Lenses","lens, camera",Electronics,AF-S NIKKOR 85mm f/1.8G Lens,5.6018612,5.9814,nikon,395.0,310.4467805511884,5.7412
34,199.99,Yes,New,USD,USA,Pny,"Desktop Memory,Computers/Tablets & Networking,Memory (RAM),Computer Components & Parts,Computers & Accessories,Computer Components,Memory (RAM,Memory,Electronics,Computers & Tablets,Computer Cards & Components","memory, computer, component",Electronics,Details About *brand New* Pny Anarchy 16gb Kit (2x8gb) Ddr4 2400mhz Pc419200 Desktop Memory,0.3628736,5.3032,pny,199.99,245.44876289688128,5.5071
35,120.72,Yes,New,USD,USA,AOC,"Computers,Computers & Accessories,LCD Monitors,Monitors, Projectors & Accs,Electronics,Monitors Displays,See more AOC E1659FWU 16\\ LED LCD Monitor,Computers/Tablets & Networking,Laptop Accessories,Monitors,Computers & Tablets,Laptops,Computer Monitors,LED Monitors","monitor, computer",Electronics,e1659Fwu 16 Widescreen USB 3.1 Gen 1 Powered LED Backlit LCD Monitor,1.0886208,4.8017,aoc,259.355,263.7671952217388,5.5788
36,397.99,Yes,New,USD,USA,Samsung,"Computers,Computers/Tablets & Networking,Computers & Accessories,Monitors, Projectors & Accs,Electronics,Monitors,Computers & Tablets,Computer Monitors,Surveillance Equipment,Computers Features,Curved Monitors,Monitors Displays","monitor, computer",Electronics,391 Series C32F391 32 16:9 Curved FreeSync LCD Monitor,6.3049288,5.9889,samsung,259.355,263.7671952217388,5.5788
37,60.02,Yes,New,USD,USA,OmniMount,"#15691 in,Audio & Video Accessories,TV Mounts,#917 in,Audio Visual Presentation,TV Stands, Mounts & Furniture,Electronics,TV & Home Theater,TV Ceiling & Wall Mounts,TV Accessories,Mounts Carts,Monitor Wall Mounts,TV Accessories & Parts,#1548 in,Monitor Mounts Stands,Accessories & Supplies","mount, tv, stand",Electronics,OC100T Tilt Mount for 23 to 42 TVs (Black),2.0865232,4.1112,omnimount,60.02,198.7887833961081,5.2972
38,79.96,Yes,New,USD,USA,Razer,"Computers,Mice & Mice Pads,All Mice & Mice Pads,Computers & Accessories,Electronics Fan Shop,Electronics,Mice, Trackballs & Touchpads,Keyboards and Mice,Mice Pointing devices xcbsztzedbfwuy,Keyboards, Mice & Pointers,See more Razer Naga Chroma Gaming Mouse with 12 Button ...,Video Games,See more Razer Naga Chroma Professional Grade Ergonomic...,PC Gaming Accessories,Gaming Mice,Computers & Tablets,Mice Touchpads,Computer Accessories,Computer Accessories & Peripherals,Keyboards, Mice & Joysticks,PC & Digital Gaming,Sports & Outdoors,Keyboards, Mice & Accessories,Computers/Tablets & Networking,Mice & Keyboards,Sports Fan Shop,Computer Peripherals,Mice,Mice Pointing devices","mouse, keyboard",Electronics,Razer Naga Chroma MMO Gaming Mouse 12 Programmable Thumb Buttons 16000 DPI Wired,2.1772416,4.3939,razer,79.9599,205.43660846941347,5.3299
39,31.99,Yes,Used,USD,USA,NETGEAR,"Computers,USB Wireless Network Adapters,Networking,Computers & Accessories,Home Networking & Connectivity,Electronics,USB Wi-Fi Adapters/Dongles,Networking Cables & Accessories,USB Network Adapters,Wi-Fi & Networking,Computers/Tablets & Networking,Computers & Tablets,USB Wi-Fi Adapters,Networking Products,Network Adapters","networking, adapter, switch",Electronics,NETGEAR - AC600 Dual-Band WiFi USB Mini Adapter - Black,0.113398,3.4962,netgear,31.99,189.4352445629387,5.2493
40,224.99,Yes,New,USD,USA,Arris,"Computers,Electronics Features,Networking,Computers & Accessories,Other Components & Parts,Home Networking & Connectivity,Computer Accessories & Peripherals,Routers,Frys,Electronics,Wireless Routers,Wi-Fi & Networking,Computers/Tablets & Networking,Internal Modems,Modem-Router Combos,Computer Components & Parts,Modems & Gateways,Computers & Tablets,Modems,Networking Products,See more ARRIS Surfboard SVG2482AC DOCSIS 3.0 Cable Mod...","networking, modem, router",Electronics,Details About Arris Surfboard Svg2482ac Docsis 3.0 Cable Modem Wifi Router Xfinity Voice Voip,1.5195332,5.4204,arris,224.99,253.77967181937439,5.5404
41,145.49,Yes,New,USD,USA,Samsung,"Unlocked Cell Phones,All Unlocked Cell Phones,Cell Phones & Accessories,Cell Phones,Mobile","phone, cell",Electronics,Samsung - Galaxy J3 4G LTE with 16GB Memory Cell Phone (Unlocked) - Black,2.3586784,4.9869,samsung,145.49,227.280352598193,5.4305
